DNR_ID,site,date,sizeRange,count
02_0003,204,2020-05-13,0_33,0
02_0003,204,2020-06-04,0_33,0
02_0003,204,2020-06-25,0_33,0
02_0003,204,2020-07-15,0_33,0
02_0003,204,2020-07-31,0_33,0
02_0003,204,2020-08-18,0_33,0
02_0003,204,2020-09-04,0_33,0
02_0003,204,2020-09-24,0_33,0
62_0002,207,2020-05-13,0_33,0
62_0002,207,2020-06-04,0_33,0
62_0002,207,2020-06-24,0_33,0
62_0002,207,2020-07-15,0_33,0
62_0002,207,2020-07-31,0_33,0
62_0002,207,2020-08-18,0_33,0
62_0002,207,2020-09-04,0_33,0
62_0002,207,2020-09-24,0_33,0
62_0047,201,2020-04-15,0_33,0
62_0047,201,2020-05-05,0_33,2
62_0047,201,2020-05-20,0_33,0
62_0047,201,2020-06-11,0_33,0
62_0047,201,2020-07-01,0_33,0
62_0047,201,2020-07-23,0_33,0
62_0047,201,2020-08-06,0_33,0
62_0047,201,2020-08-26,0_33,0
62_0047,201,2020-09-11,0_33,0
62_0047,201,2020-10-09,0_33,0
62_0054,101,2020-07-17,0_33,0
62_0054,101,2020-04-13,0_33,1
62_0054,101,2020-05-04,0_33,1
62_0054,101,2020-05-18,0_33,0
62_0054,101,2020-06-10,0_33,0
62_0054,101,2020-06-25,0_33,0
62_0054,101,2020-08-05,0_33,0
62_0054,101,2020-08-20,0_33,0
62_0054,101,2020-09-10,0_33,0
62_0054,101,2020-10-08,0_33,0
62_0055,201,2020-04-10,0_33,5
62_0055,201,2020-05-01,0_33,12
62_0055,201,2020-05-17,0_33,0
62_0055,201,2020-05-21,0_33,0
62_0055,201,2020-05-26,0_33,0
62_0055,201,2020-06-26,0_33,0
62_0055,201,2020-07-14,0_33,0
62_0055,201,2020-08-03,0_33,0
62_0055,201,2020-08-20,0_33,0
62_0055,201,2020-09-06,0_33,0
62_0055,201,2020-09-09,0_33,0
62_0055,201,2020-10-05,0_33,0
62_0055,201,2020-10-23,0_33,0
62_0057,401,2020-05-07,0_33,0
62_0057,401,2020-06-02,0_33,0
62_0057,401,2020-06-15,0_33,0
62_0057,401,2020-07-02,0_33,0
62_0057,401,2020-07-22,0_33,0
62_0057,401,2020-08-07,0_33,0
62_0057,401,2020-08-27,0_33,0
62_0057,401,2020-09-17,0_33,0
62_0061,208,2020-05-08,0_33,0
62_0061,208,2020-05-28,0_33,0
62_0061,208,2020-06-16,0_33,0
62_0061,208,2020-07-06,0_33,0
62_0061,208,2020-07-24,0_33,0
62_0061,208,2020-08-12,0_33,0
62_0061,208,2020-09-02,0_33,0
62_0061,208,2020-09-15,0_33,0
62_0067,202,2020-05-27,0_33,0
62_0067,202,2020-06-12,0_33,0
62_0067,202,2020-06-29,0_33,0
62_0067,202,2020-07-21,0_33,0
62_0067,202,2020-08-10,0_33,0
62_0067,202,2020-08-22,0_33,0
62_0067,202,2020-09-17,0_33,0
62_0067,202,2020-05-06,0_33,4
62_0075,202,2020-05-08,0_33,0
62_0075,202,2020-05-28,0_33,0
62_0075,202,2020-06-16,0_33,0
62_0075,202,2020-07-06,0_33,0
62_0075,202,2020-07-24,0_33,0
62_0075,202,2020-08-12,0_33,0
62_0075,202,2020-09-02,0_33,0
62_0075,202,2020-09-15,0_33,0
62_0078,101,2020-05-06,0_33,4
62_0078,101,2020-05-27,0_33,0
62_0078,101,2020-06-15,0_33,0
62_0078,101,2020-07-02,0_33,4
62_0078,101,2020-07-22,0_33,0
62_0078,101,2020-08-07,0_33,0
62_0078,101,2020-08-27,0_33,0
62_0078,101,2020-09-17,0_33,0
62_0083,204,2020-05-06,0_33,0
62_0083,204,2020-05-27,0_33,0
62_0083,204,2020-06-12,0_33,0
62_0083,204,2020-07-21,0_33,0
62_0083,204,2020-08-10,0_33,0
62_0083,204,2020-08-24,0_33,0
62_0083,204,2020-09-14,0_33,0
62_0083,204,2020-06-29,0_33,0
62_0225,201,2020-04-15,0_33,8
62_0225,201,2020-05-05,0_33,0
62_0225,201,2020-05-20,0_33,0
62_0225,201,2020-06-11,0_33,0
62_0225,201,2020-07-01,0_33,0
62_0225,201,2020-07-23,0_33,0
62_0225,201,2020-08-06,0_33,0
62_0225,201,2020-08-26,0_33,0
62_0225,201,2020-09-11,0_33,0
62_0225,201,2020-10-09,0_33,0
62_0231,201,2020-04-13,0_33,0
62_0231,201,2020-05-04,0_33,0
62_0231,201,2020-05-18,0_33,0
62_0231,201,2020-06-10,0_33,0
62_0231,201,2020-06-26,0_33,0
62_0231,201,2020-07-17,0_33,0
62_0231,201,2020-08-05,0_33,0
62_0231,201,2020-08-20,0_33,0
62_0231,201,2020-09-10,0_33,0
62_0231,201,2020-10-08,0_33,0
82_0167,234,2020-05-14,0_33,0
82_0167,234,2020-06-08,0_33,0
82_0167,234,2020-06-24,0_33,0
82_0167,234,2020-07-16,0_33,0
82_0167,234,2020-07-31,0_33,0
82_0167,234,2020-08-21,0_33,0
82_0167,234,2020-09-04,0_33,0
82_0167,234,2020-09-23,0_33,0
02_0003,204,2020-05-13,34_66,8
02_0003,204,2020-06-04,34_66,28
02_0003,204,2020-06-25,34_66,7
02_0003,204,2020-07-15,34_66,6
02_0003,204,2020-07-31,34_66,0
02_0003,204,2020-08-18,34_66,0
02_0003,204,2020-09-04,34_66,0
02_0003,204,2020-09-24,34_66,0
62_0002,207,2020-05-13,34_66,1
62_0002,207,2020-06-04,34_66,2
62_0002,207,2020-06-24,34_66,12
62_0002,207,2020-07-15,34_66,5
62_0002,207,2020-07-31,34_66,0
62_0002,207,2020-08-18,34_66,0
62_0002,207,2020-09-04,34_66,0
62_0002,207,2020-09-24,34_66,0
62_0047,201,2020-04-15,34_66,4
62_0047,201,2020-05-05,34_66,14
62_0047,201,2020-05-20,34_66,14
62_0047,201,2020-06-11,34_66,99
62_0047,201,2020-07-01,34_66,13
62_0047,201,2020-07-23,34_66,5
62_0047,201,2020-08-06,34_66,0
62_0047,201,2020-08-26,34_66,0
62_0047,201,2020-09-11,34_66,41
62_0047,201,2020-10-09,34_66,30
62_0054,101,2020-07-17,34_66,2
62_0054,101,2020-04-13,34_66,1
62_0054,101,2020-05-04,34_66,6
62_0054,101,2020-05-18,34_66,2
62_0054,101,2020-06-10,34_66,0
62_0054,101,2020-06-25,34_66,0
62_0054,101,2020-08-05,34_66,2
62_0054,101,2020-08-20,34_66,0
62_0054,101,2020-09-10,34_66,0
62_0054,101,2020-10-08,34_66,0
62_0055,201,2020-04-10,34_66,0
62_0055,201,2020-05-01,34_66,2
62_0055,201,2020-05-17,34_66,11
62_0055,201,2020-05-21,34_66,22
62_0055,201,2020-05-26,34_66,8
62_0055,201,2020-06-26,34_66,5
62_0055,201,2020-07-14,34_66,32
62_0055,201,2020-08-03,34_66,0
62_0055,201,2020-08-20,34_66,4
62_0055,201,2020-09-06,34_66,0
62_0055,201,2020-09-09,34_66,0
62_0055,201,2020-10-05,34_66,1
62_0055,201,2020-10-23,34_66,6
62_0057,401,2020-05-07,34_66,0
62_0057,401,2020-06-02,34_66,5
62_0057,401,2020-06-15,34_66,1
62_0057,401,2020-07-02,34_66,1
62_0057,401,2020-07-22,34_66,8
62_0057,401,2020-08-07,34_66,0
62_0057,401,2020-08-27,34_66,0
62_0057,401,2020-09-17,34_66,10
62_0061,208,2020-05-08,34_66,0
62_0061,208,2020-05-28,34_66,0
62_0061,208,2020-06-16,34_66,34
62_0061,208,2020-07-06,34_66,20
62_0061,208,2020-07-24,34_66,1
62_0061,208,2020-08-12,34_66,0
62_0061,208,2020-09-02,34_66,0
62_0061,208,2020-09-15,34_66,8
62_0067,202,2020-05-27,34_66,26
62_0067,202,2020-06-12,34_66,1
62_0067,202,2020-06-29,34_66,6
62_0067,202,2020-07-21,34_66,21
62_0067,202,2020-08-10,34_66,21
62_0067,202,2020-08-22,34_66,0
62_0067,202,2020-09-17,34_66,0
62_0067,202,2020-05-06,34_66,21
62_0075,202,2020-05-08,34_66,0
62_0075,202,2020-05-28,34_66,13
62_0075,202,2020-06-16,34_66,37
62_0075,202,2020-07-06,34_66,1
62_0075,202,2020-07-24,34_66,0
62_0075,202,2020-08-12,34_66,0
62_0075,202,2020-09-02,34_66,0
62_0075,202,2020-09-15,34_66,0
62_0078,101,2020-05-06,34_66,15
62_0078,101,2020-05-27,34_66,4
62_0078,101,2020-06-15,34_66,2
62_0078,101,2020-07-02,34_66,0
62_0078,101,2020-07-22,34_66,7
62_0078,101,2020-08-07,34_66,0
62_0078,101,2020-08-27,34_66,0
62_0078,101,2020-09-17,34_66,0
62_0083,204,2020-05-06,34_66,1
62_0083,204,2020-05-27,34_66,4
62_0083,204,2020-06-12,34_66,0
62_0083,204,2020-07-21,34_66,11
62_0083,204,2020-08-10,34_66,0
62_0083,204,2020-08-24,34_66,0
62_0083,204,2020-09-14,34_66,0
62_0083,204,2020-06-29,34_66,30
62_0225,201,2020-04-15,34_66,5
62_0225,201,2020-05-05,34_66,2
62_0225,201,2020-05-20,34_66,0
62_0225,201,2020-06-11,34_66,63
62_0225,201,2020-07-01,34_66,10
62_0225,201,2020-07-23,34_66,9
62_0225,201,2020-08-06,34_66,0
62_0225,201,2020-08-26,34_66,0
62_0225,201,2020-09-11,34_66,26
62_0225,201,2020-10-09,34_66,8
62_0231,201,2020-04-13,34_66,0
62_0231,201,2020-05-04,34_66,0
62_0231,201,2020-05-18,34_66,0
62_0231,201,2020-06-10,34_66,3
62_0231,201,2020-06-26,34_66,2
62_0231,201,2020-07-17,34_66,5
62_0231,201,2020-08-05,34_66,0
62_0231,201,2020-08-20,34_66,0
62_0231,201,2020-09-10,34_66,0
62_0231,201,2020-10-08,34_66,2
82_0167,234,2020-05-14,34_66,5
82_0167,234,2020-06-08,34_66,16
82_0167,234,2020-06-24,34_66,0
82_0167,234,2020-07-16,34_66,27
82_0167,234,2020-07-31,34_66,0
82_0167,234,2020-08-21,34_66,2
82_0167,234,2020-09-04,34_66,0
82_0167,234,2020-09-23,34_66,0
02_0003,204,2020-05-13,67_99,10
02_0003,204,2020-06-04,67_99,107
02_0003,204,2020-06-25,67_99,0
02_0003,204,2020-07-15,67_99,0
02_0003,204,2020-07-31,67_99,0
02_0003,204,2020-08-18,67_99,7
02_0003,204,2020-09-04,67_99,0
02_0003,204,2020-09-24,67_99,0
62_0002,207,2020-05-13,67_99,3
62_0002,207,2020-06-04,67_99,5
62_0002,207,2020-06-24,67_99,15
62_0002,207,2020-07-15,67_99,3
62_0002,207,2020-07-31,67_99,2
62_0002,207,2020-08-18,67_99,8
62_0002,207,2020-09-04,67_99,2
62_0002,207,2020-09-24,67_99,18
62_0047,201,2020-04-15,67_99,0
62_0047,201,2020-05-05,67_99,0
62_0047,201,2020-05-20,67_99,2
62_0047,201,2020-06-11,67_99,44
62_0047,201,2020-07-01,67_99,0
62_0047,201,2020-07-23,67_99,9
62_0047,201,2020-08-06,67_99,1
62_0047,201,2020-08-26,67_99,40
62_0047,201,2020-09-11,67_99,10
62_0047,201,2020-10-09,67_99,25
62_0054,101,2020-07-17,67_99,3
62_0054,101,2020-04-13,67_99,0
62_0054,101,2020-05-04,67_99,1
62_0054,101,2020-05-18,67_99,22
62_0054,101,2020-06-10,67_99,1
62_0054,101,2020-06-25,67_99,0
62_0054,101,2020-08-05,67_99,4
62_0054,101,2020-08-20,67_99,0
62_0054,101,2020-09-10,67_99,5
62_0054,101,2020-10-08,67_99,4
62_0055,201,2020-04-10,67_99,0
62_0055,201,2020-05-01,67_99,0
62_0055,201,2020-05-17,67_99,5
62_0055,201,2020-05-21,67_99,6
62_0055,201,2020-05-26,67_99,0
62_0055,201,2020-06-26,67_99,6
62_0055,201,2020-07-14,67_99,1
62_0055,201,2020-08-03,67_99,0
62_0055,201,2020-08-20,67_99,9
62_0055,201,2020-09-06,67_99,10
62_0055,201,2020-09-09,67_99,2
62_0055,201,2020-10-05,67_99,5
62_0055,201,2020-10-23,67_99,4
62_0057,401,2020-05-07,67_99,6
62_0057,401,2020-06-02,67_99,5
62_0057,401,2020-06-15,67_99,6
62_0057,401,2020-07-02,67_99,2
62_0057,401,2020-07-22,67_99,7
62_0057,401,2020-08-07,67_99,2
62_0057,401,2020-08-27,67_99,16
62_0057,401,2020-09-17,67_99,21
62_0061,208,2020-05-08,67_99,9
62_0061,208,2020-05-28,67_99,15
62_0061,208,2020-06-16,67_99,17
62_0061,208,2020-07-06,67_99,27
62_0061,208,2020-07-24,67_99,3
62_0061,208,2020-08-12,67_99,6
62_0061,208,2020-09-02,67_99,0
62_0061,208,2020-09-15,67_99,4
62_0067,202,2020-05-27,67_99,24
62_0067,202,2020-06-12,67_99,3
62_0067,202,2020-06-29,67_99,17
62_0067,202,2020-07-21,67_99,6
62_0067,202,2020-08-10,67_99,9
62_0067,202,2020-08-22,67_99,2
62_0067,202,2020-09-17,67_99,23
62_0067,202,2020-05-06,67_99,21
62_0075,202,2020-05-08,67_99,6
62_0075,202,2020-05-28,67_99,2
62_0075,202,2020-06-16,67_99,3
62_0075,202,2020-07-06,67_99,3
62_0075,202,2020-07-24,67_99,0
62_0075,202,2020-08-12,67_99,0
62_0075,202,2020-09-02,67_99,6
62_0075,202,2020-09-15,67_99,10
62_0078,101,2020-05-06,67_99,58
62_0078,101,2020-05-27,67_99,12
62_0078,101,2020-06-15,67_99,7
62_0078,101,2020-07-02,67_99,18
62_0078,101,2020-07-22,67_99,7
62_0078,101,2020-08-07,67_99,0
62_0078,101,2020-08-27,67_99,0
62_0078,101,2020-09-17,67_99,3
62_0083,204,2020-05-06,67_99,1
62_0083,204,2020-05-27,67_99,4
62_0083,204,2020-06-12,67_99,22
62_0083,204,2020-07-21,67_99,19
62_0083,204,2020-08-10,67_99,0
62_0083,204,2020-08-24,67_99,0
62_0083,204,2020-09-14,67_99,1
62_0083,204,2020-06-29,67_99,19
62_0225,201,2020-04-15,67_99,1
62_0225,201,2020-05-05,67_99,0
62_0225,201,2020-05-20,67_99,1
62_0225,201,2020-06-11,67_99,44
62_0225,201,2020-07-01,67_99,3
62_0225,201,2020-07-23,67_99,13
62_0225,201,2020-08-06,67_99,2
62_0225,201,2020-08-26,67_99,8
62_0225,201,2020-09-11,67_99,2
62_0225,201,2020-10-09,67_99,32
62_0231,201,2020-04-13,67_99,0
62_0231,201,2020-05-04,67_99,0
62_0231,201,2020-05-18,67_99,10
62_0231,201,2020-06-10,67_99,19
62_0231,201,2020-06-26,67_99,3
62_0231,201,2020-07-17,67_99,6
62_0231,201,2020-08-05,67_99,12
62_0231,201,2020-08-20,67_99,0
62_0231,201,2020-09-10,67_99,0
62_0231,201,2020-10-08,67_99,3
82_0167,234,2020-05-14,67_99,4
82_0167,234,2020-06-08,67_99,17
82_0167,234,2020-06-24,67_99,4
82_0167,234,2020-07-16,67_99,8
82_0167,234,2020-07-31,67_99,1
82_0167,234,2020-08-21,67_99,12
82_0167,234,2020-09-04,67_99,0
82_0167,234,2020-09-23,67_99,12
02_0003,204,2020-05-13,100_133,0
02_0003,204,2020-06-04,100_133,12
02_0003,204,2020-06-25,100_133,0
02_0003,204,2020-07-15,100_133,0
02_0003,204,2020-07-31,100_133,0
02_0003,204,2020-08-18,100_133,1
02_0003,204,2020-09-04,100_133,1
02_0003,204,2020-09-24,100_133,0
62_0002,207,2020-05-13,100_133,51
62_0002,207,2020-06-04,100_133,13
62_0002,207,2020-06-24,100_133,1
62_0002,207,2020-07-15,100_133,0
62_0002,207,2020-07-31,100_133,2
62_0002,207,2020-08-18,100_133,9
62_0002,207,2020-09-04,100_133,2
62_0002,207,2020-09-24,100_133,6
62_0047,201,2020-04-15,100_133,0
62_0047,201,2020-05-05,100_133,0
62_0047,201,2020-05-20,100_133,1
62_0047,201,2020-06-11,100_133,11
62_0047,201,2020-07-01,100_133,0
62_0047,201,2020-07-23,100_133,0
62_0047,201,2020-08-06,100_133,2
62_0047,201,2020-08-26,100_133,39
62_0047,201,2020-09-11,100_133,1
62_0047,201,2020-10-09,100_133,5
62_0054,101,2020-07-17,100_133,2
62_0054,101,2020-04-13,100_133,0
62_0054,101,2020-05-04,100_133,3
62_0054,101,2020-05-18,100_133,18
62_0054,101,2020-06-10,100_133,2
62_0054,101,2020-06-25,100_133,4
62_0054,101,2020-08-05,100_133,0
62_0054,101,2020-08-20,100_133,1
62_0054,101,2020-09-10,100_133,1
62_0054,101,2020-10-08,100_133,2
62_0055,201,2020-04-10,100_133,0
62_0055,201,2020-05-01,100_133,0
62_0055,201,2020-05-17,100_133,0
62_0055,201,2020-05-21,100_133,0
62_0055,201,2020-05-26,100_133,0
62_0055,201,2020-06-26,100_133,0
62_0055,201,2020-07-14,100_133,0
62_0055,201,2020-08-03,100_133,0
62_0055,201,2020-08-20,100_133,1
62_0055,201,2020-09-06,100_133,0
62_0055,201,2020-09-09,100_133,1
62_0055,201,2020-10-05,100_133,3
62_0055,201,2020-10-23,100_133,0
62_0057,401,2020-05-07,100_133,5
62_0057,401,2020-06-02,100_133,17
62_0057,401,2020-06-15,100_133,1
62_0057,401,2020-07-02,100_133,2
62_0057,401,2020-07-22,100_133,4
62_0057,401,2020-08-07,100_133,2
62_0057,401,2020-08-27,100_133,18
62_0057,401,2020-09-17,100_133,15
62_0061,208,2020-05-08,100_133,8
62_0061,208,2020-05-28,100_133,8
62_0061,208,2020-06-16,100_133,4
62_0061,208,2020-07-06,100_133,5
62_0061,208,2020-07-24,100_133,0
62_0061,208,2020-08-12,100_133,4
62_0061,208,2020-09-02,100_133,3
62_0061,208,2020-09-15,100_133,0
62_0067,202,2020-05-27,100_133,26
62_0067,202,2020-06-12,100_133,9
62_0067,202,2020-06-29,100_133,14
62_0067,202,2020-07-21,100_133,3
62_0067,202,2020-08-10,100_133,8
62_0067,202,2020-08-22,100_133,34
62_0067,202,2020-09-17,100_133,11
62_0067,202,2020-05-06,100_133,12
62_0075,202,2020-05-08,100_133,5
62_0075,202,2020-05-28,100_133,0
62_0075,202,2020-06-16,100_133,0
62_0075,202,2020-07-06,100_133,0
62_0075,202,2020-07-24,100_133,0
62_0075,202,2020-08-12,100_133,0
62_0075,202,2020-09-02,100_133,9
62_0075,202,2020-09-15,100_133,2
62_0078,101,2020-05-06,100_133,45
62_0078,101,2020-05-27,100_133,5
62_0078,101,2020-06-15,100_133,22
62_0078,101,2020-07-02,100_133,4
62_0078,101,2020-07-22,100_133,4
62_0078,101,2020-08-07,100_133,0
62_0078,101,2020-08-27,100_133,0
62_0078,101,2020-09-17,100_133,4
62_0083,204,2020-05-06,100_133,0
62_0083,204,2020-05-27,100_133,1
62_0083,204,2020-06-12,100_133,96
62_0083,204,2020-07-21,100_133,2
62_0083,204,2020-08-10,100_133,2
62_0083,204,2020-08-24,100_133,0
62_0083,204,2020-09-14,100_133,0
62_0083,204,2020-06-29,100_133,9
62_0225,201,2020-04-15,100_133,0
62_0225,201,2020-05-05,100_133,0
62_0225,201,2020-05-20,100_133,0
62_0225,201,2020-06-11,100_133,10
62_0225,201,2020-07-01,100_133,0
62_0225,201,2020-07-23,100_133,1
62_0225,201,2020-08-06,100_133,1
62_0225,201,2020-08-26,100_133,40
62_0225,201,2020-09-11,100_133,0
62_0225,201,2020-10-09,100_133,4
62_0231,201,2020-04-13,100_133,0
62_0231,201,2020-05-04,100_133,0
62_0231,201,2020-05-18,100_133,14
62_0231,201,2020-06-10,100_133,69
62_0231,201,2020-06-26,100_133,2
62_0231,201,2020-07-17,100_133,0
62_0231,201,2020-08-05,100_133,10
62_0231,201,2020-08-20,100_133,0
62_0231,201,2020-09-10,100_133,0
62_0231,201,2020-10-08,100_133,0
82_0167,234,2020-05-14,100_133,1
82_0167,234,2020-06-08,100_133,69
82_0167,234,2020-06-24,100_133,0
82_0167,234,2020-07-16,100_133,20
82_0167,234,2020-07-31,100_133,3
82_0167,234,2020-08-21,100_133,2
82_0167,234,2020-09-04,100_133,6
82_0167,234,2020-09-23,100_133,3
02_0003,204,2020-05-13,134_166,0
02_0003,204,2020-06-04,134_166,0
02_0003,204,2020-06-25,134_166,0
02_0003,204,2020-07-15,134_166,0
02_0003,204,2020-07-31,134_166,0
02_0003,204,2020-08-18,134_166,0
02_0003,204,2020-09-04,134_166,0
02_0003,204,2020-09-24,134_166,0
62_0002,207,2020-05-13,134_166,31
62_0002,207,2020-06-04,134_166,14
62_0002,207,2020-06-24,134_166,0
62_0002,207,2020-07-15,134_166,0
62_0002,207,2020-07-31,134_166,4
62_0002,207,2020-08-18,134_166,20
62_0002,207,2020-09-04,134_166,0
62_0002,207,2020-09-24,134_166,5
62_0047,201,2020-04-15,134_166,0
62_0047,201,2020-05-05,134_166,0
62_0047,201,2020-05-20,134_166,1
62_0047,201,2020-06-11,134_166,0
62_0047,201,2020-07-01,134_166,0
62_0047,201,2020-07-23,134_166,0
62_0047,201,2020-08-06,134_166,1
62_0047,201,2020-08-26,134_166,11
62_0047,201,2020-09-11,134_166,0
62_0047,201,2020-10-09,134_166,0
62_0054,101,2020-07-17,134_166,6
62_0054,101,2020-04-13,134_166,0
62_0054,101,2020-05-04,134_166,4
62_0054,101,2020-05-18,134_166,8
62_0054,101,2020-06-10,134_166,7
62_0054,101,2020-06-25,134_166,18
62_0054,101,2020-08-05,134_166,0
62_0054,101,2020-08-20,134_166,3
62_0054,101,2020-09-10,134_166,3
62_0054,101,2020-10-08,134_166,3
62_0055,201,2020-04-10,134_166,0
62_0055,201,2020-05-01,134_166,0
62_0055,201,2020-05-17,134_166,0
62_0055,201,2020-05-21,134_166,0
62_0055,201,2020-05-26,134_166,0
62_0055,201,2020-06-26,134_166,0
62_0055,201,2020-07-14,134_166,0
62_0055,201,2020-08-03,134_166,1
62_0055,201,2020-08-20,134_166,0
62_0055,201,2020-09-06,134_166,0
62_0055,201,2020-09-09,134_166,0
62_0055,201,2020-10-05,134_166,0
62_0055,201,2020-10-23,134_166,0
62_0057,401,2020-05-07,134_166,0
62_0057,401,2020-06-02,134_166,30
62_0057,401,2020-06-15,134_166,0
62_0057,401,2020-07-02,134_166,0
62_0057,401,2020-07-22,134_166,2
62_0057,401,2020-08-07,134_166,1
62_0057,401,2020-08-27,134_166,6
62_0057,401,2020-09-17,134_166,4
62_0061,208,2020-05-08,134_166,1
62_0061,208,2020-05-28,134_166,21
62_0061,208,2020-06-16,134_166,0
62_0061,208,2020-07-06,134_166,0
62_0061,208,2020-07-24,134_166,0
62_0061,208,2020-08-12,134_166,8
62_0061,208,2020-09-02,134_166,7
62_0061,208,2020-09-15,134_166,2
62_0067,202,2020-05-27,134_166,56
62_0067,202,2020-06-12,134_166,12
62_0067,202,2020-06-29,134_166,5
62_0067,202,2020-07-21,134_166,2
62_0067,202,2020-08-10,134_166,7
62_0067,202,2020-08-22,134_166,10
62_0067,202,2020-09-17,134_166,4
62_0067,202,2020-05-06,134_166,6
62_0075,202,2020-05-08,134_166,0
62_0075,202,2020-05-28,134_166,1
62_0075,202,2020-06-16,134_166,0
62_0075,202,2020-07-06,134_166,0
62_0075,202,2020-07-24,134_166,0
62_0075,202,2020-08-12,134_166,0
62_0075,202,2020-09-02,134_166,6
62_0075,202,2020-09-15,134_166,2
62_0078,101,2020-05-06,134_166,1
62_0078,101,2020-05-27,134_166,20
62_0078,101,2020-06-15,134_166,27
62_0078,101,2020-07-02,134_166,12
62_0078,101,2020-07-22,134_166,0
